model,role,fold,train_rows,validation_rows,train_groups,validation_groups,fit_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_pr_auc,macro_roc_auc,precision_small,recall_small,f1_small,pr_auc_small,roc_auc_small,precision_fit,recall_fit,f1_fit,pr_auc_fit,roc_auc_fit,precision_large,recall_large,f1_large,pr_auc_large,roc_auc_large
Dummy (Most Frequent),reference,1,102590,51294,55839,28291,0.08655459992587566,0.7377471049245525,0.3333333333333333,0.2830281816549991,0.6264096648841079,0.3333333333333333,0.5,0.0,0.0,0.0,0.13385581159589816,0.5,0.7377471049245525,1.0,0.8490845449649973,0.7377471049245525,0.5,0.0,0.0,0.0,0.12839708347954926,0.5
"Logistic Regression (Unweighted, Numeric Size)",reference,1,102590,51294,55839,28291,1.3007082999683917,0.7363434319803486,0.3342969673279863,0.2865619437226209,0.6273044281789674,0.3965272496610724,0.6135691122282959,0.2236024844720497,0.0052432274978153216,0.01024619325458944,0.20182385286249246,0.6414613834587483,0.7380672926447575,0.997040325564188,0.8482273330185922,0.7787806184776058,0.5678096668287095,0.3076923076923077,0.0006073489219556636,0.0012123048946810122,0.2089772776431189,0.6314362863974301
"Logistic Regression (Unweighted, Categorical Size)",reference,1,102590,51294,55839,28291,1.4314016998978332,0.7376106367216438,0.33445096113430717,0.28583281672557775,0.6274235320481361,0.4084810331753548,0.6289096332933598,0.45714285714285713,0.002330323332362365,0.004637009129111723,0.22496557326597966,0.6601437563576354,0.7380380673499268,0.9990486760742032,0.8489339486004918,0.7814797620870122,0.5742125108729862,0.38235294117647056,0.0019738839963559063,0.00392749244712991,0.21899776417307248,0.6523726326494577
Logistic Regression (Balanced),candidate,1,102590,51294,55839,28291,1.5265189999481663,0.3388505478223574,0.47447151090177675,0.3260327656312479,0.3601936732683848,0.40757399927083776,0.6287800519087217,0.20233255903987613,0.6089426157879406,0.3037413730475845,0.22261922312919807,0.6593665666710316,0.8046649703138252,0.2507002801120448,0.38229368149580917,0.7817022073180246,0.5743145753860878,0.19708067940552018,0.5637716368053447,0.29206324235035,0.2184005673652905,0.6526590136690458
Random Forest (Balanced),candidate,1,102590,51294,55839,28291,8.870782400015742,0.411471127227356,0.46672830861536996,0.3662033743500665,0.45254430407736845,0.41393978480060994,0.6304613022301635,0.2086170331510213,0.5444217885231576,0.3016462233699161,0.23365641467320641,0.6601670793259046,0.7879292172851833,0.3753501400560224,0.5084751830174158,0.7821805626933598,0.5752174404734599,0.20613720763567658,0.4804129972669299,0.2884887166628676,0.22598237703526372,0.6559993868911259
XGBoost (Balanced Sample Weights),candidate,1,102590,51294,55839,28291,3.2297076999675483,0.3905719967247631,0.47633321651562727,0.3580527624961681,0.4265234752892411,0.4227033696009958,0.6397336810219548,0.2115138592750533,0.5779201864258666,0.3096854756887536,0.2502930570960867,0.6728795853489968,0.7938448038109565,0.33468104222821204,0.47085285151312367,0.7843323547932795,0.5840323473629488,0.20512665862484922,0.516398420892803,0.29361996028662696,0.2334846969136213,0.6622891103539189
Dummy (Most Frequent),reference,2,102590,51294,56039,28091,0.08921669994015247,0.7377471049245525,0.3333333333333333,0.2830281816549991,0.6264096648841079,0.3333333333333333,0.5,0.0,0.0,0.0,0.13385581159589816,0.5,0.7377471049245525,1.0,0.8490845449649973,0.7377471049245525,0.5,0.0,0.0,0.0,0.12839708347954926,0.5
"Logistic Regression (Unweighted, Numeric Size)",reference,2,102590,51294,56039,28091,1.2280271000927314,0.7366553593012828,0.3344879640907983,0.2867416242287229,0.6274395409617446,0.39606846991282896,0.6119924801885396,0.26229508196721313,0.00466064666472473,0.009158557527189467,0.20400536016753962,0.6419313243045282,0.7380286647244002,0.9974367105332699,0.8483452267236051,0.7793370514416698,0.5659617807255084,0.3103448275862069,0.001366535074400243,0.0027210884353741495,0.2048629981292776,0.6280843355355822
"Logistic Regression (Unweighted, Categorical Size)",reference,2,102590,51294,56039,28091,1.239295499981381,0.7372987094007096,0.3344416278445111,0.28607113523979505,0.6273841674821484,0.4075106091020761,0.6272015733506137,0.40625,0.0018933877075444218,0.0037692084662220935,0.22608889202466947,0.6611903378835081,0.7379985156829811,0.9985465884466994,0.8487264723058263,0.7855775909907718,0.5767510434680102,0.31666666666666665,0.002884907379289402,0.005717724947336744,0.21086534429078693,0.6436633387003227
Logistic Regression (Balanced),candidate,2,102590,51294,56039,28091,1.4794800999807194,0.341989316489258,0.4684893892554463,0.32639684418718334,0.3664497522827812,0.40730924849307387,0.626568524879355,0.2000284265883356,0.6149140693271191,0.30186251027776784,0.22653466190057397,0.6619405674055124,0.8031232115117325,0.259579303419481,0.3923471731272342,0.7858352368538243,0.5765617047204881,0.19475384272666518,0.5309747950197389,0.284980849156548,0.20955784672482342,0.6412033025120646
Random Forest (Balanced),candidate,2,102590,51294,56039,28091,9.4411165000638,0.42463056107926855,0.4669722467723063,0.37308127591960244,0.4669331770882762,0.41335164706269795,0.630153111211279,0.20753462603878117,0.5455869501893388,0.3006903194734307,0.23991442578549754,0.6662481060681062,0.7877754459601259,0.39678135405105436,0.5277494639907209,0.7847186833678312,0.5748182001889226,0.2129159616469261,0.45854843607652596,0.29080404429465573,0.2154218320347652,0.6493930273768083
XGBoost (Balanced Sample Weights),candidate,2,102590,51294,56039,28091,3.2469308000290766,0.4027371622411978,0.4786015544518949,0.3655470974084046,0.44068824836558323,0.42227396795277666,0.6394914182147258,0.21363759847867428,0.5726769589280513,0.31118673578410033,0.2540625803842762,0.6762433592564407,0.795998570918185,0.35325828444585383,0.48934768284647484,0.7875570632223754,0.5865990195976281,0.2086362224293259,0.5098694199817795,0.29610687359463866,0.22520226025167828,0.6556318757901085
Dummy (Most Frequent),reference,3,102588,51296,56382,27748,0.08657640009187162,0.737737835308796,0.3333333333333333,0.2830261352120471,0.6263972649814508,0.3333333333333333,0.5,0.0,0.0,0.0,0.13385059263880225,0.5,0.737737835308796,1.0,0.8490784056361413,0.737737835308796,0.5,0.0,0.0,0.0,0.12841157205240175,0.5
"Logistic Regression (Unweighted, Numeric Size)",reference,3,102588,51296,56382,27748,0.9389939000830054,0.7366656269494698,0.3342939127873246,0.286263166322654,0.627257222729158,0.3946725184755011,0.6105027447935886,0.2396694214876033,0.004223711039906787,0.0083011306712466,0.20160767827130457,0.637748097581175,0.7379779498006099,0.9975953280659567,0.8483690827986832,0.7789982371599562,0.5636071979612551,0.3684210526315789,0.0010626992561105207,0.002119285498032092,0.2034116399952427,0.6301529388383358
"Logistic Regression (Unweighted, Categorical Size)",reference,3,102588,51296,56382,27748,1.27488819998689,0.7376598565190269,0.3344142650208048,0.28568394122017576,0.6273666155345808,0.4053357013707027,0.624424496552337,0.3,0.000873871249635887,0.0017426662794074934,0.22301421734032006,0.656446747647107,0.7380255299215365,0.9991808260444468,0.848973360126632,0.783187678606789,0.57195365802215,0.5,0.003188097768331562,0.006335797254487857,0.2098052081649991,0.6448730839877541
Logistic Regression (Balanced),candidate,3,102588,51296,56382,27748,1.4476700000232086,0.3378236119775421,0.46441141032543065,0.32284493980631795,0.36176856402780644,0.405386245935518,0.6238506578056295,0.19932268988872762,0.600058258083309,0.2992446252178966,0.2224708937650117,0.6552744332047734,0.7973441108545035,0.25545014930105964,0.38693537734905037,0.7835129243962143,0.571972497080491,0.19143876337693222,0.5377258235919234,0.28235481685200686,0.21017491964532797,0.6443050431316243
Random Forest (Balanced),candidate,3,102588,51296,56382,27748,9.988527499954216,0.4136579850280724,0.46132250800495567,0.3654474340803322,0.45566853523597084,0.4112437780977592,0.6259891059577385,0.20637450199203186,0.528109525196621,0.29677524963169094,0.2350432302682694,0.6570272042826968,0.783873064009531,0.3825013873107312,0.5141274041449857,0.7834088794794927,0.5734993142698654,0.20432503276539973,0.4733566115075148,0.28543964846432,0.21527922454551546,0.6474407993206532
XGBoost (Balanced Sample Weights),candidate,3,102588,51296,56382,27748,3.2198761999607086,0.39422177167810357,0.47531673886523707,0.3598540219678609,0.431170870446219,0.41755518308481054,0.6344090531202289,0.21271542200618648,0.5608796970579668,0.3084501401682018,0.24609341091573722,0.6686639876209113,0.7929066699392526,0.34146341463414637,0.4773550055411895,0.7845671025577425,0.5797724034721152,0.20414323764427345,0.523607104903598,0.2937569201941913,0.22200503578095182,0.6547907682676601
